"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"SNRPE"	1.21306713960651e-73	0.616886166296628	1	1	2.86417282332492e-69
"LDHB"	1.52666140507e-73	-0.526375186706525	1	1	3.60460024351077e-69
"NBDY"	1.68830610088231e-73	-0.818375818701593	0.772	0.989	3.98625953479322e-69
"GSTO1"	1.77564520792225e-73	-0.805672009386292	0.693	0.989	4.19247590042523e-69
"ZBTB21"	1.84877456495553e-73	0.81541488024877	0.703	0.123	4.36514162531649e-69
"CCN1"	2.0323871632801e-73	1.23430242861054	0.947	0.655	4.79866933122065e-69
"WDR43"	2.91224411497089e-73	0.793464353998558	0.993	0.906	6.87609957985778e-69
"RAB13"	3.43830349804488e-73	-0.790523822039583	0.904	1	8.11817838923377e-69
"INA"	3.45230632052833e-73	0.804446387200123	0.693	0.107	8.15124045339944e-69
"STMN1"	4.73711182187709e-73	-0.833914620369221	0.884	1	1.1184794722634e-68
"METRN"	5.67984678216994e-73	-0.922435308574724	0.518	0.96	1.34106862373814e-68
"DUT"	6.22815756524918e-73	-0.851082919004164	0.766	0.995	1.47053028273099e-68
"PRDX5"	7.18881317558576e-73	-0.615823971694295	1	1	1.69735067888755e-68
"KHDRBS1"	7.31412333133734e-73	-0.729437776020485	0.908	0.996	1.72693765976206e-68
"TSHR"	8.14663414577356e-73	-0.840164188183185	0.066	0.733	1.9235017881586e-68
"CP"	1.53076221296059e-72	-1.31336577346424	0.498	0.947	3.61428266102124e-68
"EMC8"	1.78559995427682e-72	0.763096705150121	0.98	0.802	4.215980052043e-68
"CLK1"	2.16323145216038e-72	0.871324169965577	0.832	0.274	5.10760578169587e-68
"CORO1B"	2.64348022883535e-72	-0.880357330652927	0.37	0.922	6.24152116830314e-68
"DYNC1H1"	3.46950640656865e-72	-0.903708528122463	0.455	0.946	8.19185157654923e-68
"LGALS3"	6.98575740205139e-72	-0.844248234499683	0.842	0.998	1.64940718019835e-67
"TFDP2"	1.09084356087772e-71	-0.835371331951676	0.69	0.984	2.57559073158838e-67
"NDUFB7"	2.66095747449562e-71	-0.721064019336161	0.911	1	6.2827866930316e-67
"HDLBP"	2.95164705718033e-71	-0.824022043092888	0.713	0.978	6.96913386670848e-67
"TARS"	4.31422542704008e-71	-0.710180026244972	0.95	0.998	1.01863176557843e-66
"RESF1"	4.85668149371486e-71	-0.83838630279526	0.178	0.817	1.14671106748101e-66
"SDF2L1"	7.55457821261827e-71	-0.845145169069128	0.409	0.927	1.7837114617813e-66
"NUDT16L1"	8.55194193348447e-71	1.00293192308493	0.96	0.715	2.01919900991502e-66
"PCBD1"	9.49123283942188e-71	-0.790026963288554	0.779	0.991	2.2409749857159e-66
"SON"	1.0556274143667e-70	0.708312516292285	1	0.995	2.49244188806121e-66
"PSMD6"	1.24504197579559e-70	0.649012372580065	1	0.991	2.93966860905097e-66
"PARP1"	1.91595906783713e-70	-0.772023438289267	0.878	0.993	4.52377095507025e-66
"ADM"	3.41089097181152e-70	1.26228841414286	0.554	0.034	8.05345467354418e-66
"PARP14"	4.35940154200376e-70	-0.854420183861273	0.446	0.938	1.02929829808251e-65
"ZNF34"	5.25463137127293e-70	0.863588612467508	0.551	0.034	1.24067101307125e-65
