"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"COPB2"	4.57110461322262e-13	0.303498685628935	0.862	0.681	1.07928351022799e-08
"LIMA1"	5.72399869625803e-13	0.359964655837832	0.886	0.69	1.35149333217348e-08
"GABARAPL2"	6.6483559506313e-13	0.280232247281954	0.929	0.867	1.56974332350356e-08
"IGFBP3"	6.65231021697661e-13	-0.392627891666513	0.667	0.849	1.57067696533035e-08
"DDX6"	6.68925392066221e-13	0.31677844693942	0.781	0.55	1.57939974320756e-08
"RIF1"	7.47933750727153e-13	0.315208411851852	0.9	0.681	1.76594637884188e-08
"HADHA"	7.79608293295184e-13	0.296641726802415	0.957	0.842	1.84073314129926e-08
"RTF1"	7.80466843387216e-13	0.301727974402609	0.967	0.856	1.84276026392156e-08
"ZFR"	7.91946796955757e-13	0.279662070473417	0.967	0.922	1.86986558229224e-08
"DYNLT1"	8.27798194526537e-13	0.332382251369688	0.905	0.752	1.95451431709661e-08
"C12orf57"	8.34437113399983e-13	0.277025941136681	0.981	0.91	1.9701894684487e-08
"SEC11A"	8.72226772911043e-13	0.255010174335514	0.995	0.982	2.05941463352026e-08
"NDUFA3"	9.12507963767662e-13	0.251804176960582	0.995	0.963	2.15452255325183e-08
"PHF6"	9.3379654661671e-13	0.315897369185281	0.71	0.47	2.20478702621671e-08
"PDIA6"	1.04833635482459e-12	0.274079725247028	0.948	0.858	2.47522696737634e-08
"C1orf35"	1.05064222641018e-12	0.321547048587673	0.886	0.722	2.48067136077709e-08
"PET100"	1.10788223731178e-12	0.336729233358769	0.829	0.656	2.61582075051685e-08
"HNRNPR"	1.14773657663477e-12	0.316379026094328	0.948	0.832	2.70992083109235e-08
"PSMC5"	1.16480997757977e-12	0.300324416152615	0.957	0.934	2.7502328380636e-08
"TMF1"	1.17616308358138e-12	0.33357508346006	0.752	0.502	2.77703865664399e-08
"PPP4R2"	1.20203500545633e-12	0.277460244144336	0.986	0.959	2.83812485138295e-08
"KNOP1"	1.24183680514835e-12	0.297710750428103	0.767	0.541	2.93210088063577e-08
"MRPL28"	1.25247000123144e-12	0.349978490343611	0.657	0.426	2.95720691990756e-08
"TCERG1"	1.26770080987878e-12	0.283965198054935	0.948	0.869	2.99316838220479e-08
"MRPS10"	1.37431602343438e-12	0.296179802689604	0.91	0.78	3.24489756293092e-08
"SNHG1"	1.37554458576571e-12	-0.286951690998911	1	0.995	3.24779832145141e-08
"SRFBP1"	1.40207456344083e-12	0.300657787789013	0.629	0.383	3.31043825174014e-08
"UBE2B"	1.45028346781376e-12	0.294799540220645	0.981	0.954	3.42426429585507e-08
"ATAD5"	1.49030622618839e-12	0.366164026428616	0.776	0.571	3.5187620306534e-08
"MIS18A"	1.61003280308074e-12	0.334169704142631	0.905	0.837	3.80144845135393e-08
"PKN2"	1.69440205553313e-12	0.304795080052324	0.786	0.557	4.00065269331928e-08
"PSMA4"	1.71910751898762e-12	0.271251726643211	0.986	0.968	4.05898476308168e-08
"DNAJA1"	2.27274694837239e-12	0.267621958592632	0.995	0.968	5.36618281980205e-08
"MT1F"	2.36638576642185e-12	0.353804545494409	0.962	0.979	5.58727343309863e-08
"SLK"	2.38341386622765e-12	0.367422179758175	0.79	0.598	5.6274784795501e-08
"MT-ND4L"	2.57974860478314e-12	0.433010398567127	0.676	0.465	6.09104443075347e-08
"RAB11A"	2.76413404992399e-12	0.267464311052472	0.976	0.865	6.52639690527552e-08
"REEP5"	3.01806652476458e-12	0.28341421799552	0.938	0.824	7.12595687162166e-08
