"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"TBCB"	3.3624555345796e-203	-0.832613139447232	0.666	0.982	7.9390937626959e-199
"SLC38A1"	1.96116116807135e-202	-0.769254562889805	0.977	0.999	4.63049763393327e-198
"RAI14"	7.20755872631522e-202	-0.878068721760515	0.908	0.996	1.70177669087029e-197
"PLD3"	3.07824014072254e-201	-0.900384065760406	0.84	0.995	7.26803279625998e-197
"TTC3"	8.5072867274552e-201	-0.836754668423143	0.965	0.999	2.00865546921945e-196
"RPS29"	8.82101092133241e-201	-0.411681408715638	1	1	2.08272888863579e-196
"CORO1B"	1.03850206640816e-200	-0.878501800037013	0.421	0.931	2.4520072289963e-196
"DRAP1"	1.9905908863368e-200	-0.754648172355835	0.858	0.991	4.69998414172982e-196
"NMRAL1"	7.11446192235428e-199	-0.783872359393488	0.153	0.768	1.67979560448707e-194
"COPS9"	9.49145100420409e-199	0.597677466449077	0.999	0.998	2.24102649660263e-194
"IMPA2"	1.37723516838524e-197	-0.930821607287636	0.422	0.932	3.2517899560744e-193
"RPS4X"	1.52980684966005e-197	-0.4558208853836	1	1	3.61202695273235e-193
"CCS"	2.09803781506298e-197	-0.777910293565493	0.152	0.764	4.95367708514519e-193
"ATP5MC2"	2.32799336476051e-197	-0.578772679658062	0.998	1	5.49662513353603e-193
"TMEM160"	2.5175366263919e-197	-0.845398181307039	0.6	0.971	5.94415572857391e-193
"AHNAK"	2.78137561230215e-197	-0.895145955096769	0.904	0.998	6.56710595820662e-193
"NBDY"	1.01155629551663e-196	-0.801580472448468	0.804	0.991	2.38838556934431e-192
"TMEM223"	1.62960713581216e-196	-0.863770917845118	0.35	0.9	3.8476654083661e-192
"FDFT1"	6.147377839223e-196	-0.983186039298533	0.465	0.913	1.45145738161894e-191
"CCNB1IP1"	3.98961822625076e-195	1.00962494257776	0.98	0.859	9.41988759400067e-191
"EIF4EBP1"	5.29721516044901e-195	-1.03230872670525	0.769	0.984	1.25072547153362e-190
"EMX2OS"	3.16984277153465e-194	-0.833879638556095	0.195	0.804	7.48431576787046e-190
"TSTA3"	4.63286144621884e-194	-0.868657136066464	0.471	0.926	1.09386491606673e-189
"EDF1"	5.12492777017849e-194	-0.708015416754197	0.947	0.998	1.21004669581684e-189
"ECI1"	1.55559490848514e-193	-0.851732885266878	0.739	0.989	3.67291513842425e-189
"MBP"	3.05275163313387e-193	-0.904490068182339	0.453	0.928	7.20785188099239e-189
"SLC5A3"	3.55228197349291e-193	-1.04814128712313	0.788	0.991	8.38729296761411e-189
"NDUFB7"	4.0265609977078e-193	-0.698079131454571	0.929	0.999	9.50711317168788e-189
"MT1X"	1.11114649910778e-192	2.13873883730591	0.92	0.684	2.62352799904338e-188
"NDUFS2"	1.12608720253892e-191	-0.818951389374067	0.627	0.968	2.65880449391464e-187
"NAA10"	2.8738140728019e-191	-0.851970045263618	0.662	0.983	6.78536240729256e-187
"TXNIP"	3.91348023457161e-191	1.398588313706	0.878	0.292	9.24011818184702e-187
"VPS28"	1.20285951369043e-190	-0.858451379108684	0.504	0.939	2.84007159777448e-186
"CTXN1"	1.39389488763857e-190	-0.88463298966161	0.484	0.949	3.29112521920342e-186
"DCDC2"	2.67048647563091e-190	-0.937616387892635	0.362	0.9	6.30528561761214e-186
