Combo_0	Combo_1	Combo_10	Combo_2	Combo_3	Combo_4	Combo_5	Combo_6	Combo_7	Combo_8	Combo_9	DMSO_0	DMSO_1	DMSO_10	DMSO_2	DMSO_3	DMSO_4	DMSO_5	DMSO_6	DMSO_7	DMSO_8	DMSO_9
EIF3B	CEP290	TNRC6A	BAHD1	RAVER1	SURF6	GABPB1	ZBTB40	SLC43A2	ZNF780B	MBNL2	FUT9	CDC42BPB	NAB1	RNF215	AMOTL2	RIC8B	COL18A1	LRBA	RABGAP1L	CIP2A	FAM83H
ZSWIM4	KMT2D	BPTF	CHD6	ARHGEF2	GOLGA8B	TLE4	ZRANB2	CLSPN	PTTG1	TNRC6B	RFX2	RNF215	SREBF1	YEATS2	TRIM44	IKBKB	DDX11	PIP5K1A	FUT9	FUT9	DDX60L
UBR5	CDC42BPA	MTMR1	SLC38A2	PMAIP1	ERVK13-1	ZZEF1	ZC3H13	XIST	TRIM28	ZSWIM8	ABCA1	BRWD3	AC012123.1	ENTPD4	ARFRP1	CEP97	IFT88	RNF207	LRP5	CENPF	CCNJL
GOLGA8B	MAPKAPK5	ZZEF1	SATB1	ADAMTS3	PRRC2A	ZFX	LIME1	AGRN	RBM4	CIART	MAPKAPK5	NCALD	HMGCS1	H6PD	AC138150.1	AUTS2	IGFBP3	CYB5D2	ATP8A1	IFT172	VAV3
USP43	SLC9A1	PTTG1	CAMTA1-DT	EIF3B	ZFC3H1	ZNF440	FN1	PPP1R18	CALD1	KHDC4	LHX1	SLC8A1	COL18A1	PRKD3	LONRF2	CYB5D2	ARFRP1	TTC3	ENTPD4	MORN1	CCDC171
RFX3	PTCD3	FBXO10	SETD5	KHDC4	NOC3L	ZNF335	ZNF655	USP43	SETD2	KIAA2026	SLC8A1	PRKD3	MIPOL1	DYNC2H1	LENG8	TAF3	TPCN1	IFT88	TRIB1	HSPA5	EMX2
AL133523.1	ZNF224	CEP290	BRIP1	MCF2L-AS1	SMC4	ZFC3H1	PTTG1	GREB1L	FBXO10	GADD45B	ANKHD1	CEP290	RIC8B	MIPOL1	FLG	LONRF2	HOXA-AS3	FBXL4	SCAF8	ATRX	NMU
KATNAL2	NOM1	TMEM259	ZBTB11	BRIP1	ZBTB40	RBM4	PCNX1	PTGER4	ANXA1	ZFX	RAPGEF3	H6PD	LONRF2	FBXL4	ARHGAP42	MIPOL1	RNF207	TRIO	RNF213-AS1	MFSD14C	NEAT1
S100A6	TNRC6A	HOMER2	ZNF490	FLCN	ABL1	NUP153	CCDC18	CENPE	CCDC18	PPP1R18	PRDM5	ZNF217	IFT88	PLAU	PLAU	GABPB2	FUT9	ADGRV1	MKI67	CPM	POLQ
SNAPC1	CALD1	SLC9A1	THAP7-AS1	ZNF490	CCDC18	CFAP44	GEN1	ADCY9	RIF1	CAMTA1-DT	AL133523.1	ZNF736	LRBA	LONRF2	SHROOM3	PIP5K1A	ADGRV1	SPATA6L	CCNJL	IGF2BP2	H2AFX
NOC3L	ZFX	ZKSCAN8	CSPP1	PRRT2	GEN1	AGO2	RSRC2	DNHD1	CEP290	RCC1	SUOX	TNRC6A	DIS3L2	IGFBP2	ZNF254	VAV3	DHCR24	NFATC2IP	ATM	MICAL3	DENND5B
CCNL2	ZNF736	SLFN5	ZSWIM8	MGA	NOP2	UBR5	TNKS	MCF2L-AS1	PPIL2	UBE4B	PLXND1	DYNC2H1	UACA	SPATA6L	FRMD5	XRN1	L1CAM	ARFGEF2	AURKA	PRDM5	EMP1
PTCD3	SKIL	KRT19	ADCY9	S100A2	CDK11A	AP000763.3	ATP13A3	AC010422.2	PPP6R2	GOLGA8B	ZC3H13	CCNJL	MTR	SYNE2	SLC39A13	GJC1	VPS8	SAMD4A	BCORL1	AC061992.2	SREBF1
ZZEF1	NOC3L	CALD1	PCF11	PLXNB2	ASH1L	BAHD1	GABPB1	SLPI	ZNF625	ANKHD1	PDPR	PRDM5	TRIO	CP	NHS	UACA	IGF2BP2	COL18A1	HSPA5	ZNF484	N4BP2
PTTG1	ATF3	ATF3	BMF	SATB1	PCNX1	PTTG1	AC010422.2	RIF1	SMC4	HK2	NCOA5	SPATA6L	FBXO31	ZNF217	KIF14	MSL2	TRIB1	RNF215	MYH9	RABGAP1L	SLC39A13
TLE4	VPS8	STX16	SNAPC1	MIGA2	TPR	EIF3B	KDM5C	KATNAL2	ERVK13-1	CRKL	CXCL1	ARHGAP42	SOS2	PGM2L1	L1CAM	MTR	DDX60L	CDC42BPB	IER3	HJURP	FILIP1
CFAP53	ZFC3H1	CCAR2	AL353759.1	OBSCN	EIF3B	CEP350	UBR5	CRTC1	ESCO2	NUP160	RSRP1	SETX	MICAL3	SPOCK2	PGM2L1	HDAC7	SREBF1	YEATS2	SREBF1	NABP1	IGSF9
