DMSO_0	DMSO_1	DMSO_10	DMSO_2	DMSO_3	DMSO_4	DMSO_5	DMSO_6	DMSO_7	DMSO_8	DMSO_9	RACi_0	RACi_1	RACi_10	RACi_2	RACi_3	RACi_4	RACi_5	RACi_6	RACi_7	RACi_8	RACi_9
MAP3K10	TRIM44	MTR	PTHLH	PEX1	TTC7B	RHOT2	TTC7B	TRIO	NABP1	DNAJC27	INTS6	CHERP	AP000763.3	TNPO2	CAMTA1-DT	CSPP1	IVNS1ABP	CEP350	DNAJC28	CCDC88A	PIP5K1A
RAPGEF3	HSPA5	COL18A1	AC138150.1	BCL9L	GJC1	TM4SF1	PIP5K1A	MYH9	IGF2BP2	GPSM2	PTOV1-AS1	NOP2	GABPA	ZNF708	RHOBTB1	CIP2A	PTGER4	ARHGEF17	IRF1	ZNF224	ZBTB40
AMOTL2	PIK3CA	PLXNB1	TRIM44	ATF4	MTR	COL18A1	IFT172	NINL	HJURP	RAI14	BDP1	CEP192	TENT4A	BRCA2	CIART	ASH1L	SLF2	THAP7-AS1	CLSPN	CATSPERG	VCPIP1
CCDC150	IKBKB	TRIO	CLU	TAF4B	ARHGAP29	HERC2	AC061992.2	BCORL1	KRT19	SLC30A1	CSPP1	PTCD3	CHERP	SLFN12	ARHGEF17	NDUFC2	DYRK1A	ZNF224	SLC12A7	SPEN	SNIP1
MAP3K8	BCL2L11	HMGCS1	SLC16A5	ZNF512B	AGO2	H6PD	SAMD4A	PRTG	CENPE	ZNF346	BPTF	CEP290	SCAPER	ZNF490	BMF	PCF11	THAP7-AS1	XIST	HES1	TMC6	RARA
PEX1	ZNF697	MNS1	IFT172	PPM1L	TPX2	CEP97	SCAI	PIK3CA	TATDN3	CDK6	SURF6	ATF3	XIST	ACTG1	U2AF2	NFKB1	TPX2	ZBTB40	USP43	GSE1	PCNT
KNTC1	ANKRD36C	SCAPER	PGM2L1	RNF215	ZFYVE9	PEX1	ZMYM6	TRIM66	LINC00630	AMOTL2	GADD45B	ITGA3	LUC7L3	RARA	FBXL20	HMGB3	NUP153	UBR5	PHIP	PRR14L	GADD45B
WDR60	ZRANB2	RND3	PPM1B	TM4SF1	HDAC7	SETX	AC138150.1	GABPB2	CENPF	SMC4	UBXN7	CATSPERG	WFDC2	PCF11	SMG5	OTUD7B	AGO2	ESCO2	HIST1H2BJ	CCDC77	C16orf87
PPM1L	NKTR	TSHZ1	HERC2	TSHZ2	PIP5K1A	ASB16-AS1	CLU	ASPM	PLAG1	ANKRD52	CFAP44	GABPA	TRIM66	PHIP	GRAMD2A	YTHDC1	SNIP1	AKT1	CCDC186	ZNF346	MT2A
ZNF692	AC061992.2	TTC3	COL18A1	SUOX	RNF215	TOP2A	MFSD14C	HSPA5	GAB1	N4BP2	RICTOR	IKBKB	PCF11	HMGB3	HSP90AA1	AC010422.2	TTBK2	C1orf159	SLPI	KMT2D	YTHDC1
MEF2D	RAPGEF3	SCAI	MALAT1	HOXA3	CDC42BPB	PPIL2	AUTS2	CEP97	ADGRV1	XDH	KMT2D	SKIL	RBM4	KRT19	POLG2	LATS2	MT2A	GJC1	SMAD7	C3	ZNF562
AKAP9	PPIL2	SUOX	IGFBP2	FCSK	HMGCS1	DAAM1	TRIO	CDK1	LIG3	TNF	GABPA	ZKSCAN8	AKT1	CRK	AL353759.1	KRT19	AURKA	PRRC2A	NFKBIA	CRAMP1	CASZ1
ANKRD36	MRPS25	PPM1L	PLD1	DIS3L2	IGFBP3	MSL2	PPM1L	SCAPER	HSPA5	ZBTB7A	DNAJC28	PTTG1	BMF	EDN1	CCDC85C	MED13	ATP13A3	SNHG12	RBM25	ZNF493	ZNF335
