DMSO_0	DMSO_1	DMSO_10	DMSO_2	DMSO_3	DMSO_4	DMSO_5	DMSO_6	DMSO_7	DMSO_8	DMSO_9	EZH2i_0	EZH2i_1	EZH2i_10	EZH2i_2	EZH2i_3	EZH2i_4	EZH2i_5	EZH2i_6	EZH2i_7	EZH2i_8	EZH2i_9
NASP	OSBPL10	PFAS	AP1G1	LINC00240	ATG14	SAT1	CHST15	KIF11	ZNF398	GPSM2	MLH3	RANBP9	CKAP2	ASH1L	CCNL2	MAN1B1	ITPR2	UBE4B	DNHD1	IGFL2-AS1	MKI67
MIDN	ZNF708	CSAD	CBLB	PLEC	CCNL1	KRT19	FAM227A	ASF1B	REV3L	ACTN4	RELT	KIAA2026	PLAG1	PIP5K1A	LHX1	KANSL3	RHEX	BCAT1	DET1	ALS2CL	CCDC15
SPOCK2	TUBB	CCN2	MBNL2	ITGA2B	DNAJC5	WDR90	YTHDF1	ATAD2	ARAP1	UACA	CDK5RAP2	UBE4B	SETD2	GGA3	PLAG1	NUP153	PTBP2	MED15	ADAMTS3	HMGCS1	TACC3
CDK1	MEOX1	H2AFX	SNHG12	WDR37	SOS2	CXCL8	ST14	AURKA	BPTF	PTPRU	IQGAP3	DIS3L2	SNTB1	MRTFA	RBM25	PPP6R3	TENT4A	SCAPER	PSMD6-AS1	LINC01424	LONRF1
FBXO44	SKI	ARAP1	BRWD3	LAMA3	IFT122	ZNF774	SNHG12	LRP5	CRABP2	CARF	CAPRIN2	ARFGEF2	WASHC1	ELL2	CCDC144NL-AS1	ZNF292	FMR1	TAOK1	LRBA	TEP1	RBM33
ADCY3	MCM7	RAD54L	MKLN1	MON2	TBCD	FNBP4	FAT2	AP1G1	TUBA1A	SLC4A11	ZSWIM8	PUM1	SMARCD2	DIS3L2	MUC16	TBCD	EHBP1	CCNL1	SSBP3	ANPEP	BHLHE41
CCND1	MTMR1	MEOX1	TET2	ZNF546	NUP210	FBXO46	MBOAT1	KIF14	AGO2	L1CAM	HOXB3	TRAK1	ARHGEF17	GOLGA8B	MTX3	ZCCHC8	STT3B	EYA4	LONRF1	BRF1	RIPK4
GSDMB	ACAD11	ELF3	DYRK1A	SDC4	WSB1	CAPN12	PBX4	FBXO46	ZRANB2	FAM160B2	USP20	MBNL1	LINC00685	PLAU	WDR59	CFAP44	MAP3K15	ZNF292	CP	TRPV1	MIGA2
MLH3	CCNL1	ANK2	HSPA5	MEF2D	SREBF1	FAAP24	IGF2BP2	RANBP9	RC3H1	AGO1	KIF2C	MED15	SSBP3	FTX	KIAA2026	INTS4	ZBTB44	KMT2C	ZNF644	CCDC144NL-AS1	CCDC186
KLF8	GCN1	PXN	KHDC4	FLG	PCNT	PANK3	ZNF217	SELENOP	NUFIP2	PSAP	SATB1	GDPD5	EYA4	VPS13B	ATP13A3	BPTF	ZMYM1	FHL2	KANTR	SIPA1L3	MTX3
PAX8-AS1	SLC4A11	LRRC37A2	CSRNP1	SPG7	SMC4	ZNF107	TEAD1	ARHGEF3	SOS2	TUBB	TACC3	TPRA1	ZBTB44	TPCN1	VWDE	STOX2	SPEN	CEP85L	PRC1	MICALL1	LINC02422
ZCCHC14	MAP2K4	LRPPRC	ZNF546	AC012291.3	UBE4B	UBA1	TUBB	CDK18	MICALL1	MIDN	MC1R	RNF150	TNRC6B	ARFGEF2	QSOX2	ZMYM1	LUC7L3	ASH1L	CENPU	CCDC186	SON
ID2	FAT2	MSLN	AGO1	DDX39B	NDOR1	AP1G1	BOD1L1	FAM227A	CSRNP1	ZSWIM8	ZNF217	ARHGEF17	ASB16-AS1	TET3	CREBZF	DNAJC11	CDAN1	SYNGR1	KRT19	PJVK	ATAD2
ZNF774	TRIM44	YTHDF1	FAT2	CD47	STIL	BAHD1	NABP1	CYBA	B4GALNT3	USH2A	TMBIM6	SCD	ANK2	SETX	PTPRD	PPP6R2	RUFY3	DNAJC5	CEP112	AZIN2	PPIB
IDS	PGM2L1	NEK7	PDPR	AGO1	CELF1	YTHDF1	ASH1L	PSMD6-AS1	SLC5A6	CLU	C11orf95	NAA25	EHBP1L1	DNHD1	BTAF1	PTPRD	PLXNA1	PXN	PTTG1	OGFOD3	KPNA1
AC092620.1	KMT2C	TRIM66	PXN	CREBZF	UHRF2	UACA	CCDC85C	PALM2-AKAP2	ARHGEF3	ZNF217	FAAP24	FAR1	PGM2L1	MBOAT1	BCL2L1	CEP85	RBM25	AGO3	PTPRD	ARFGEF2	TANC2
VWDE	NDRG1	WASHC1	FGF2	CALD1	FAM168B	MICALL1	PXN	KDM7A	CDK1	CAMTA2	GYG2	LRP2	VPS13B	AGO3	KLHL24	NINL	FGD6	MICAL3	SNTB1	BMF	PTPRU
